q_nm_inv,geant4_sum,metal_sum,bin_z
1.0566406319849193,1521.8547061465215,1571.4789535647724,0.9206255570298665
1.169921895954758,771.9810614436865,766.752278573811,-0.15723098439964764
1.2832031599245965,969.3434098716825,985.11282476224,0.4212631201154298
1.3964844238944352,1169.700909882784,1204.5664928779006,0.8439837316975933
1.5097656878642738,1241.6438678242266,1202.0802526250482,-0.9462172205403084
1.6230469518341124,1239.3515775576234,1144.8196651414037,-2.282171415390781
1.736328215803951,1145.8658213894814,1138.941536096856,-0.1724077153760033
1.8496094797737896,1230.2602729627397,1226.812810452655,-0.08190932049353923
1.9628907437436283,1235.4503175094724,1209.2663489952683,-0.6211181877695816
2.076172007713467,1252.7695271894336,1222.116117887199,-0.7260031381500406
2.1894532716833055,1290.7202610709937,1274.3185944788856,-0.3817450242731401
2.302734535653144,1341.2576560582966,1348.9085495220497,0.17420841065320583
2.4160157996229827,1364.7892100317404,1360.3505567433313,-0.10096299193925748
2.5292970635928214,1408.812665866688,1397.0370099283755,-0.2624804907109174
2.64257832756266,1446.6498079156736,1440.839568657102,-0.1272063877159327
2.7558595915324986,1475.1266998201609,1385.3892130926251,-1.9797662369306783
2.869140855502337,1444.9519089153036,1477.8537412239239,0.7138766286739471
2.982422119472176,1461.5534753911197,1441.548465365544,-0.43792902398581435
3.0957033834420145,1520.184274858795,1465.815944597125,-1.1731470899840732
3.208984647411853,1556.6019411142915,1489.5663075260818,-1.4321725936001677
3.3222659113816917,1497.012441886589,1474.407634994015,-0.4915151011896204
3.4355471753515303,1471.9328129217029,1494.4038690263405,0.48500883855227317
3.548828439321369,1504.089711824432,1468.1324700824916,-0.77351367469301
3.6621097032912076,1432.481268800795,1567.53339513205,2.897836762791499
3.775390967261046,1521.4633949324489,1530.9879591315985,0.2035928661282057
3.888672231230885,1552.9487032759935,1564.7635978180915,0.2492887743300695
4.001953495200723,1518.7079345198872,1502.8624815900403,-0.34223721099957244
4.115234759170562,1567.786637203768,1571.575926870224,0.08007440223420853
4.228516023140401,1613.7808184307069,1538.2961502848193,-1.585866109261376
4.341797287110239,1629.2320809848607,1569.0084027731791,-1.2542984015608483
4.455078551080078,1621.7147285658866,1682.665233997628,1.2511159132990657
4.5683598150499165,1697.7353420006111,1611.6457957662642,-1.7626902601629508
4.681641079019755,1605.4754151796515,1563.7000586685608,-0.8801086637969218
4.794922342989594,1629.734886300168,1707.4955698596314,1.5875452115418633
4.908203606959432,1677.22329278104,1690.5603286037222,0.2713084955088907
5.021484870929271,1656.9111376870424,1643.6719480557367,-0.272188081409117
