1.000000000000e-09 2.940940000000e+00
1.000000000000e-06 2.940940000000e+00
4.852010000000e-06 2.940940000000e+00
9.704030000000e-06 2.940940000000e+00
1.455600000000e-05 2.940940000000e+00
1.940810000000e-05 2.940930000000e+00
2.426010000000e-05 2.940930000000e+00
2.911210000000e-05 2.940920000000e+00
3.396410000000e-05 2.940910000000e+00
3.832630729342e-05 2.940901009467e+00
3.881610000000e-05 2.940900000000e+00
4.366810000000e-05 2.940890000000e+00
4.852010000000e-05 2.940880000000e+00
5.337210000000e-05 2.940860000000e+00
5.822420000000e-05 2.940850000000e+00
6.307620000000e-05 2.940830000000e+00
6.792820000000e-05 2.940820000000e+00
7.278020000000e-05 2.940800000000e+00
7.763220000000e-05 2.940780000000e+00
8.248420000000e-05 2.940760000000e+00
8.733620000000e-05 2.940740000000e+00
9.218830000000e-05 2.940720000000e+00
9.704030000000e-05 2.940690000000e+00
1.007759840238e-04 2.940674600527e+00
1.018920000000e-04 2.940670000000e+00
1.050044280023e-04 2.940650755839e+00
1.067440000000e-04 2.940640000000e+00
1.070047330076e-04 2.940638925259e+00
1.071591967146e-04 2.940638288560e+00
1.073136604216e-04 2.940637651860e+00
1.074642625359e-04 2.940637031078e+00
1.076187262429e-04 2.940636394378e+00
1.077731899498e-04 2.940635757679e+00
1.080782557711e-04 2.940634500196e+00
1.082327194781e-04 2.940633863496e+00
1.083833215924e-04 2.940633242713e+00
1.085377852994e-04 2.940632606012e+00
1.086883874137e-04 2.940631985229e+00
1.088428511206e-04 2.940631348528e+00
1.089973148276e-04 2.940630711827e+00
1.091479169419e-04 2.940630091044e+00
1.093023806489e-04 2.940629454342e+00
1.094568443559e-04 2.940628817641e+00
1.096074464702e-04 2.940628196857e+00
1.097619101771e-04 2.940627560155e+00
1.099163738841e-04 2.940626923454e+00
1.100669759984e-04 2.940626302669e+00
1.102214397054e-04 2.940625665967e+00
1.103759034124e-04 2.940625029265e+00
1.105265055267e-04 2.940624408480e+00
1.106809692337e-04 2.940623771778e+00
1.115960000000e-04 2.940620000000e+00
1.126812742390e-04 2.940613289757e+00
1.164480000000e-04 2.940590000000e+00
