1.000000000000e-09 5.742190000000e-01
1.000000000000e-06 5.742190000000e-01
4.852010000000e-06 5.742190000000e-01
9.704030000000e-06 5.742180000000e-01
1.455600000000e-05 5.742180000000e-01
1.940810000000e-05 5.742170000000e-01
2.426010000000e-05 5.742160000000e-01
2.911210000000e-05 5.742160000000e-01
3.396410000000e-05 5.742140000000e-01
3.832630729342e-05 5.742131009466e-01
3.881610000000e-05 5.742130000000e-01
4.366810000000e-05 5.742120000000e-01
4.852010000000e-05 5.742100000000e-01
5.337210000000e-05 5.742080000000e-01
5.822420000000e-05 5.742060000000e-01
6.307620000000e-05 5.742040000000e-01
6.792820000000e-05 5.742020000000e-01
7.278020000000e-05 5.742000000000e-01
7.763220000000e-05 5.741970000000e-01
8.248420000000e-05 5.741940000000e-01
8.733620000000e-05 5.741920000000e-01
9.218830000000e-05 5.741890000000e-01
9.704030000000e-05 5.741860000000e-01
1.007759840238e-04 5.741829201055e-01
1.018920000000e-04 5.741820000000e-01
1.050044280023e-04 5.741800755822e-01
1.067440000000e-04 5.741790000000e-01
1.070047330076e-04 5.741787850518e-01
1.071591967146e-04 5.741786577120e-01
1.073136604216e-04 5.741785303721e-01
1.074642625359e-04 5.741784062157e-01
1.076187262429e-04 5.741782788757e-01
1.077731899498e-04 5.741781515358e-01
1.080782557711e-04 5.741779000392e-01
1.082327194781e-04 5.741777726992e-01
1.083833215924e-04 5.741776485426e-01
1.085377852994e-04 5.741775212025e-01
1.086883874137e-04 5.741773970459e-01
1.088428511206e-04 5.741772697057e-01
1.089973148276e-04 5.741771423655e-01
1.091479169419e-04 5.741770182088e-01
1.093023806489e-04 5.741768908686e-01
1.094568443559e-04 5.741767635283e-01
1.096074464702e-04 5.741766393715e-01
1.097619101771e-04 5.741765120312e-01
1.099163738841e-04 5.741763846908e-01
1.100669759984e-04 5.741762605339e-01
1.102214397054e-04 5.741761331935e-01
1.103759034124e-04 5.741760058531e-01
1.105265055267e-04 5.741758816961e-01
1.106809692337e-04 5.741757543556e-01
1.115960000000e-04 5.741750000000e-01
1.126812742390e-04 5.741743289744e-01
1.164480000000e-04 5.741720000000e-01
1.176550056036e-04 5.741710049444e-01
1.207404181505e-04 5.741684613220e-01
1.208948818574e-04 5.741683339814e-01
1.210454839717e-04 5.741682098243e-01
1.211999476787e-04 5.741680824836e-01
1.213000000000e-04 5.741680000000e-01
1.213544113857e-04 5.741679551433e-01
1.261520000000e-04 5.741640000000e-01
1.287841156912e-04 5.741618300812e-01
1.310040000000e-04 5.741600000000e-01
1.312439502248e-04 5.741598021851e-01
1.313984139318e-04 5.741596748453e-01
1.315490160461e-04 5.741595506889e-01
1.317034797531e-04 5.741594233490e-01
1.318579434601e-04 5.741592960091e-01
1.320085455744e-04 5.741591718526e-01
1.321630092813e-04 5.741590445126e-01
1.323136113956e-04 5.741589203561e-01
1.324680751026e-04 5.741587930160e-01
1.326225388096e-04 5.741586656760e-01
1.327731409239e-04 5.741585415194e-01
1.329276046309e-04 5.741584141792e-01
1.330820683378e-04 5.741582868391e-01
1.332326704521e-04 5.741581626824e-01
1.333871341591e-04 5.741580353422e-01
1.335415978661e-04 5.741579080019e-01
1.336921999804e-04 5.741577838452e-01
1.338466636874e-04 5.741576565049e-01
1.340011273944e-04 5.741575291645e-01
1.341517295087e-04 5.741574050077e-01
1.343061932156e-04 5.741572776673e-01
1.344606569226e-04 5.741571503269e-01
1.358560000000e-04 5.741560000000e-01
1.407080000000e-04 5.741510000000e-01
1.445123826541e-04 5.741478636605e-01
1.446668463610e-04 5.741477363200e-01
1.448213100680e-04 5.741476089795e-01
1.449719121823e-04 5.741474848224e-01
1.455600000000e-04 5.741470000000e-01
1.504120000000e-04 5.741420000000e-01
1.548691742068e-04 5.741374068707e-01
1.550236379138e-04 5.741372476948e-01
1.551742400281e-04 5.741370924983e-01
1.552640000000e-04 5.741370000000e-01
1.553287037351e-04 5.741369466583e-01
1.554793058494e-04 5.741368225020e-01
1.556337695563e-04 5.741366951621e-01
1.557882332633e-04 5.741365678222e-01
1.559388353776e-04 5.741364436658e-01
1.560932990846e-04 5.741363163259e-01
1.562477627916e-04 5.741361889859e-01
1.563983649059e-04 5.741360648294e-01
1.565528286129e-04 5.741359374894e-01
1.567072923198e-04 5.741358101494e-01
1.568578944341e-04 5.741356859928e-01
1.570123581411e-04 5.741355586527e-01
1.601160000000e-04 5.741330000000e-01
1.648050521580e-04 5.741281679189e-01
1.649595158650e-04 5.741280087430e-01
1.649680000000e-04 5.741280000000e-01
1.651101179793e-04 5.741278535476e-01
1.652645816863e-04 5.741276943730e-01
1.698200000000e-04 5.741230000000e-01
1.708677526569e-04 5.741217043507e-01
1.726131925457e-04 5.741195459361e-01
1.746720000000e-04 5.741170000000e-01
1.751811516742e-04 5.741164754279e-01
1.753896776786e-04 5.741162605862e-01
1.756059268683e-04 5.741160377874e-01
1.769150067850e-04 5.741146890567e-01
1.770694704919e-04 5.741145299143e-01
1.772239341989e-04 5.741143707718e-01
1.773745363132e-04 5.741142156078e-01
1.775290000202e-04 5.741140564652e-01
1.776834637272e-04 5.741138973225e-01
1.778340658415e-04 5.741137421584e-01
1.779885295484e-04 5.741135830157e-01
1.781429932554e-04 5.741134238729e-01
1.782935953697e-04 5.741132687087e-01
1.795250000000e-04 5.741120000000e-01
1.798614019955e-04 5.741116533382e-01
1.843770000000e-04 5.741070000000e-01
1.883646290646e-04 5.741020688887e-01
1.892290000000e-04 5.741010000000e-01
1.913689481652e-04 5.740987947826e-01
