q_nm_inv,geant4_sum,metal_sum,bin_z
1.0566406319849193,555.7164293247042,552.7873878916726,-0.09087098428996875
1.169921895954758,297.93766835331917,336.2799688503146,1.775312204105146
1.2832031599245965,399.9710759939626,366.84081496298313,-1.407220852967491
1.3964844238944352,447.56131537258625,446.8587356954813,-0.02772272376024378
1.5097656878642738,456.94955052342266,447.3798678005114,-0.3775541584063352
1.6230469518341124,458.6377426609397,426.63766768202186,-1.2730460706626245
1.736328215803951,446.37042298913,440.8934550732374,-0.21686331693345587
1.8496094797737896,449.4658098809887,432.2284417843912,-0.6885297789262882
1.9628907437436283,488.56264971755445,471.27410077676177,-0.6542378800827792
2.076172007713467,498.78039935976267,466.7747443281114,-1.2094476781645769
2.1894532716833055,519.214184904471,471.27754001074936,-1.7903178353703193
2.302734535653144,514.1109249424189,477.0387185038999,-1.3935084096336485
2.4160157996229827,511.94853727705777,479.49067222699523,-1.2205389188829807
2.5292970635928214,482.89999920129776,505.0462896451354,0.8330229631726865
2.64257832756266,532.1006466482067,533.349621502799,0.04492677081538052
2.7558595915324986,544.9557472802699,530.4246550276875,-0.5211544952893821
2.869140855502337,541.2656471570954,531.6229365188628,-0.3453443234839498
2.982422119472176,560.9553698971868,511.5558161493391,-1.7787141840695466
3.0957033834420145,540.4807893754914,526.9545932626352,-0.49339912480559606
3.208984647411853,583.8445779401809,546.2156768329442,-1.32050405215233
3.3222659113816917,546.0572039820254,511.7804974410683,-1.250483769778864
3.4355471753515303,522.7652626386844,499.8687631576322,-0.8474617802991447
3.548828439321369,521.4618493979797,542.6402323094662,0.7609049986872857
3.6621097032912076,542.2920541884378,548.652933168225,0.22627999861624104
3.775390967261046,569.078607454896,562.9981883019209,-0.21355982499817455
3.888672231230885,555.604132046923,586.689910326153,1.0862224072783575
4.001953495200723,543.2086944933399,581.1250534336141,1.3453519352319272
4.115234759170562,590.8455902722781,589.8529550651438,-0.034215490747846564
4.228516023140401,578.2032323004678,583.5550787905231,0.18518895468328214
4.341797287110239,573.9685309873894,608.3596955221146,1.1757871616609517
4.455078551080078,578.9228091556579,615.8943653833121,1.2609711752158101
4.5683598150499165,598.0224652420729,633.460576810874,1.184284733146243
4.681641079019755,602.1214001234184,613.8895054409659,0.3986788841720547
4.794922342989594,591.6624849055661,626.9397703915602,1.1972791802458602
4.908203606959432,607.0358298039064,630.5487642856315,0.7894885281002514
5.021484870929271,636.4707170110196,654.2168177450076,0.5839833509504363
5.13476613489911,682.4135906044394,634.7881392142735,-1.5526631499573331
5.248047398868948,682.5432401169091,652.865081468597,-0.9544545265657592
5.361328662838787,666.6021643322892,649.5965617690235,-0.5548983647891094
5.4746099268086255,689.1130075469846,708.6961208629073,0.6171889568641644
5.587891190778464,705.8576260320842,697.8850225638598,-0.25185646058251016
5.701172454748303,725.5633022543043,707.3213496385142,-0.5674277902774442
5.814453718718141,762.5979388207197,697.1606629006565,-2.0115403403591716
5.92773498268798,735.4317780612037,706.5084120595129,-0.8978108500816959
6.0410162466578186,752.9849705956876,742.6089261360466,-0.31526301567217024
6.154297510627657,721.1985490713269,767.4587375158444,1.4121888731141827
6.267578774597496,770.3431564886123,774.2191419042647,0.11634998963185682
6.380860038567334,813.6125682229176,787.5008986946195,-0.7716619252979354
6.494141302537173,804.1349088526331,835.6532184686512,0.9199619084655899
6.607422566507012,830.4712604098022,857.1993465623818,0.7649336134405724
6.72070383047685,816.3469826644287,820.8410492734984,0.13175748087535824
6.833985094446689,888.6133229862899,846.2872093189508,-1.1940025286229452
6.9472663584165275,887.3026283718646,886.8196961153299,-0.013487901325176698
7.060547622386366,891.6486365054734,901.5477278791368,0.2769036553587089
7.173828886356205,939.9277843292803,928.2057054582983,-0.3185631228728752
7.287110150326043,879.1725677262875,944.6593392934301,1.8153326921549322
7.400391414295882,956.6383145786822,967.0485274549574,0.2789479444028777
7.513672678265721,1013.4662449155003,1023.9851802759804,0.2726471369770753
7.626953942235559,1009.694489470683,1027.4566397052258,0.4641175671538627
7.740235206205398,1061.7043342744,1051.4881481442135,-0.2621524834978189
7.8535164701752365,1097.1968225501478,1071.7347357422113,-0.6447618990862595
7.966797734145075,1099.4431021814235,1073.3226204114035,-0.6626027231790359
8.080078998114914,1114.1204607766122,1132.543067170307,0.45789956118391384
8.193360262084752,1118.294930897653,1150.4257166069,0.7931233460628224
8.306641526054591,1139.5504774814472,1160.9148525306955,0.5253735729560227
8.41992279002443,1202.2901216559112,1209.922467215918,0.18337573982230584
8.533204053994268,1242.1067440537736,1302.1677069985308,1.3970976584311512
8.646485317964107,1273.7274131458253,1247.9551437534392,-0.6062890243913842
8.759766581933945,1355.2809638618492,1299.7520846663974,-1.2634299571431524
8.873047845903784,1328.4154064957984,1360.8505582710495,0.7369494807470234
8.986329109873623,1405.1382131418213,1406.2532810973935,0.024731674863014023
9.099610373843461,1426.3222045765724,1419.4024371190462,-0.15312442341371496
9.2128916378133,1496.1573382969946,1422.961739178747,-1.598866150196097
9.326172901783139,1547.70101512596,1495.098579870537,-1.1229474701678483
9.439454165752977,1560.4272624007426,1596.335823776666,0.7538679758108364
9.552735429722816,1669.8525178171694,1647.1651739254594,-0.46342148115869675
9.666016693692654,1646.5109405701514,1640.5740548964823,-0.12195273045087317
9.779297957662493,1712.3952322294936,1679.0245482986793,-0.6749191096033779
9.892579221632332,1795.8895459817722,1788.007754100021,-0.15493015928930165
10.00586048560217,1892.3510670849937,1851.7448045692581,-0.784073468936179
10.119141749572009,2028.362816200126,1986.1055481643416,-0.784893640842642
10.232423013541847,2047.9601674354635,2043.296636724379,-0.08567226673688291
